eventCode,teamNumber,name,year
NE,19,Featherweight in the Finals,1999
FL,21,J&J Sportsmanship,1999
N1,23,WPI Scholarship,1999
PA,23,Outstanding Defense,1999
IL,27,Most Photogenic Award,1999
MI,27,Most Photogenic Award,1999
N1,33,ACE Scholarship,1999
IL,33,Best Play of the Day Award,1999
NE,38,DaimlerChrysler Team Spirit Award,1999
N1,45,Championship Finalist,1999
IL,45,Outstanding Defense,1999
N1,47,ACE Scholarship,1999
N1,47,Coast Guard Acad Schol.  Intro. to Engineering ,1999
PA,47,Motorola Quality Award,1999
MI,47,Outstanding Defense,1999
N1,48,Championship Winner,1999
N1,48,Outstanding Defense,1999
IL,49,DaimlerChrysler Team Spirit Award,1999
PA,55,DaimlerChrysler Team Spirit Award,1999
PA,56,Best Offensive Round,1999
FL,59,DaimlerChrysler Team Spirit Award,1999
CA,60,Most Photogenic Award,1999
CA,64,DaimlerChrysler Team Spirit Award,1999
PA,64,Best Play of the Day Award,1999
N1,65,Woodie Flowers Award,1999
N1,65,Coast Guard Acad Schol.  Intro. to Engineering ,1999
IL,65,Judges' Award,1999
MI,65,Best Offensive Round,1999
N1,67,Chairman's Award Finalist,1999
PA,67,Regional Winners,1999
PA,67,Honeywell Leadership in Control Award,1999
MI,67,DaimlerChrysler Team Spirit Award,1999
N1,68,Motorola Quality Award,1999
MI,68,Judges' Award,1999
MI,68,Best Play of the Day Award,1999
IL,71,Regional Winners,1999
IL,71,#1 Seed,1999
MI,71,J&J Sportsmanship,1999
MI,71,Regional Winners,1999
N1,75,Best Play of the Day Award,1999
NJ,75,Motorola Quality Award,1999
NJ,75,Regional Winners,1999
NJ,75,Best Offensive Round,1999
FL,79,Outstanding Defense,1999
N1,84,Championship Finalist,1999
NJ,84,Judges' Award,1999
NJ,84,Featherweight in the Finals,1999
IL,85,Judges' Award,1999
N1,88,ACE Scholarship,1999
N1,88,#1 Seed,1999
N1,88,Coast Guard Acad Schol.  Intro. to Engineering ,1999
NJ,88,Xerox Creativity Award,1999
NJ,89,Regional Winners,1999
NJ,97,Best Play of the Day Award,1999
CA,100,Outstanding Defense,1999
NJ,102,Best Offensive Round,1999
NJ,103,Best Play of the Day Award,1999
N1,106,Presidential Classroom Leadership Scholarship,1999
IL,107,J&J Sportsmanship,1999
IL,108,Regional Winners,1999
IL,108,Best Play of the Day Award,1999
N1,111,Coast Guard Acad Schol.  Intro. to Engineering ,1999
N1,111,Championship Finalist,1999
IL,111,Motorola Quality Award,1999
MI,111,Honeywell Leadership in Control Award,1999
CA,115,Outstanding Defense,1999
N1,120,Chairman's Award,1999
MI,120,"Delphi ""Power to Simplify"" Award",1999
N1,123,Chairman's Award Finalist,1999
IL,123,Judges' Award,1999
NE,124,J&J Sportsmanship,1999
N1,126,Best Offensive Round,1999
N1,126,Autodesk Design your Future Award,1999
NE,126,Best Offensive Round,1999
N1,132,J&J Sportsmanship,1999
NJ,133,Honeywell Leadership in Control Award,1999
MI,135,Best Offensive Round,1999
PA,145,Outstanding Defense,1999
FL,147,Judges' Award,1999
NE,151,Judges' Award,1999
NJ,153,#1 Seed,1999
NJ,153,Outstanding Defense,1999
NE,155,Most Photogenic Award,1999
N1,157,ACE Scholarship,1999
NE,157,#1 Seed,1999
NE,157,Motorola Quality Award,1999
FL,168,Judges' Award,1999
N1,175,ACE Scholarship,1999
N1,175,Coast Guard Acad Schol.  Intro. to Engineering ,1999
N1,175,Chairman's Award Finalist,1999
NE,175,Best Offensive Round,1999
PA,175,J&J Sportsmanship,1999
N1,176,Championship Winner,1999
N1,176,Coast Guard Acad Schol.  Intro. to Engineering ,1999
NE,176,Honeywell Leadership in Control Award,1999
NE,176,Best Play of the Day Award,1999
N1,177,"Delphi ""Power to Simplify"" Award",1999
PA,177,Xerox Creativity Award,1999
N1,181,Presidential Classroom Leadership Scholarship,1999
N1,181,Xerox Creativity Award,1999
N1,181,Coast Guard Acad Schol.  Intro. to Engineering ,1999
NE,181,Judges' Award,1999
N1,188,Judges' Award,1999
N1,188,Kettering University Scholarship,1999
N1,190,ACE Scholarship,1999
NE,190,Xerox Creativity Award,1999
N1,192,ACE Scholarship,1999
N1,192,Honeywell Leadership in Control Award,1999
NJ,204,J&J Sportsmanship,1999
CA,207,J&J Sportsmanship,1999
FL,212,Featherweight in the Finals,1999
FL,212,Best Play of the Day Award,1999
IL,217,Rookie All Star Award,1999
IL,217,Best Offensive Round,1999
MI,217,Xerox Creativity Award,1999
N1,221,Most Photogenic Award,1999
PA,221,Most Photogenic Award,1999
NJ,223,Rookie All Star Award,1999
NJ,227,DaimlerChrysler Team Spirit Award,1999
NE,230,Rookie All Star Award,1999
N1,231,Best Play of the Day Award,1999
CA,232,#1 Seed,1999
CA,232,Honeywell Leadership in Control Award,1999
FL,233,Rookie All Star Award,1999
N1,236,Best Offensive Round,1999
NJ,238,Most Photogenic Award,1999
N1,240,Rookie All Star Award,1999
N1,240,Kettering University Scholarship,1999
PA,241,Best Play of the Day Award,1999
NJ,246,Rookie All Star Award,1999
MI,247,Rookie All Star Award,1999
N1,248,Coast Guard Acad Schol.  Intro. to Engineering ,1999
PA,248,Rookie All Star Award,1999
N1,250,Judges' Award,1999
N1,252,Judges' Award,1999
CA,252,Best Offensive Round,1999
CA,252,Honeywell Leadership in Control Award,1999
CA,252,Regional Finalists,1999
CA,253,Judges' Award - Positive Impact,1999
N1,254,Presidential Classroom Leadership Scholarship,1999
N1,254,Judges' Award,1999
CA,254,Rookie All Star Award,1999
CA,254,Regional Winners,1999
CA,255,Judges' Award,1999
CA,257,Best Play of the Day Award,1999
CA,260,Rookie All Star Award,1999
CA,260,Featherweight in the Finals,1999
MI,264,Rookie All Star Award,1999
IL,269,Best Offensive Round,1999
FL,278,Best Offensive Round,1999
FL,290,Rookie All Star Award,1999
N1,291,Rookie All Star Award,1999
CA,295,Best Offensive Round,1999
N1,300,ACE Scholarship,1999
N1,300,Coast Guard Acad Schol.  Intro. to Engineering ,1999
PA,300,Judges' Award - Positive Impact,1999
PA,300,Best Offensive Round,1999
NJ,303,Judges' Award,1999
N1,304,ACE Scholarship,1999
N1,304,Coast Guard Acad Schol.  Intro. to Engineering ,1999
FL,312,Motorola Quality Award,1999
FL,312,Best Play of the Day Award,1999
N1,315,Coast Guard Acad Schol.  Intro. to Engineering ,1999
N1,315,DaimlerChrysler Team Spirit Award,1999
N1,321,Featherweight in the Finals,1999
PA,321,Judges' Award,1999
N1,322,Presidential Classroom Leadership Scholarship,1999
MI,322,Judges' Award,1999
CA,330,Xerox Creativity Award,1999
PA,334,Rookie All Star Award,1999
PA,334,Featherweight in the Finals,1999
MI,1,Best Offensive Round,2000
MI,1,Regional Finalists,2000
MI,1,Xerox Creativity Award,2000
N1,1,Chairman's Award Finalist,2000
N1,1,Drexel University Scholarship,2000
IL,1,Best Offensive Round,2000
IL,1,Most Photogenic Award,2000
MI,5,Featherweight in the Finals,2000
VA,7,Judges' Award,2000
FL,10,Featherweight in the Finals,2000
LI,15,Most Photogenic Award,2000
LI,15,#1 Seed,2000
FL,16,Honeywell Leadership in Control Award,2000
FL,16,Regional Winners,2000
FL,16,Outstanding Defense,2000
N1,16,Chairman's Award,2000
IL,16,Regional Finalists,2000
IL,16,Motorola Quality Award,2000
LI,19,Best Offensive Round,2000
LI,19,Regional Finalists,2000
IL,21,Judges' Award,2000
CA,22,J&J Sportsmanship,2000
N1,22,Chairman's Award Finalist,2000
NJ,25,Best Offensive Round,2000
NJ,25,Regional Winners,2000
NJ,25,Xerox Creativity Award,2000
N1,25,Championship Winner,2000
N1,27,Kettering University Scholarship,2000
N1,27,Woodie Flowers Award,2000
LI,28,Judges' Award,2000
TX,31,J&J Sportsmanship,2000
PA,33,Most Photogenic Award,2000
PA,33,#1 Seed,2000
PA,33,Regional Finalists,2000
VA,34,"Delphi ""Driving Tomorrow's Technology"" Award",2000
NE,42,DaimlerChrysler Team Spirit Award,2000
MI,45,Regional Finalists,2000
N1,45,Xerox Creativity Award,2000
N1,45,Kettering University Scholarship,2000
IL,45,Regional Winners,2000
NJ,47,#1 Seed,2000
NJ,47,Honeywell Leadership in Control Award,2000
MI,47,Regional Winners,2000
N1,47,Chairman's Award Finalist,2000
IL,47,Regional Winners,2000
PA,48,Best Play of the Day Award,2000
PA,48,Regional Finalists,2000
PA,48,"Delphi ""Driving Tomorrow's Technology"" Award",2000
MI,49,Best Play of the Day Award,2000
N1,49,Kettering University Scholarship,2000
TX,55,Regional Finalists,2000
TX,55,"Delphi ""Driving Tomorrow's Technology"" Award",2000
LI,55,"Delphi ""Driving Tomorrow's Technology"" Award",2000
LI,55,DaimlerChrysler Team Spirit Award,2000
LI,55,Regional Winners,2000
NJ,56,DaimlerChrysler Team Spirit Award,2000
NE,58,Best Offensive Round,2000
FL,59,Judges' Award,2000
CA,60,#1 Seed,2000
CA,60,Motorola Quality Award,2000
CA,60,Regional Winners,2000
N1,60,Championship Division Winners - Curie,2000
NE,62,Judges' Award - Size does not matter,2000
TX,64,#1 Seed,2000
TX,64,Motorola Quality Award,2000
CA,64,"Delphi ""Driving Tomorrow's Technology"" Award",2000
MI,65,Judges' Award,2000
MI,65,Regional Finalists,2000
IL,65,Best Offensive Round,2000
IL,65,J&J Sportsmanship,2000
MI,67,Motorola Quality Award,2000
VA,67,Motorola Quality Award,2000
VA,67,Regional Winners,2000
IL,67,"Delphi ""Driving Tomorrow's Technology"" Award",2000
TX,68,Best Offensive Round,2000
TX,68,Judges' Award,2000
MI,68,Judges' Award,2000
MI,68,DaimlerChrysler Team Spirit Award,2000
N1,68,Kettering University Scholarship,2000
IL,68,Regional Finalists,2000
NE,69,Xerox Creativity Award,2000
IL,71,Xerox Creativity Award,2000
NJ,75,Most Photogenic Award,2000
N1,75,Motorola Quality Award,2000
FL,79,Imagery Award,2000
N1,80,#1 Seed,2000
N1,85,Championship Division Winners - Curie,2000
FL,86,Best Play of the Day Award,2000
NJ,88,Best Play of the Day Award,2000
N1,88,Best Offensive Round,2000
MI,94,Outstanding Defense,2000
NJ,95,"Delphi ""Driving Tomorrow's Technology"" Award",2000
NJ,95,Featherweight in the Finals,2000
NE,95,Outstanding Defense,2000
IL,101,Outstanding Defense,2000
N1,102,Championship Finalist,2000
PA,103,Judges' Award,2000
N1,103,Autodesk Judges Recognition Award,2000
NE,105,Most Photogenic Award,2000
PA,106,Featherweight in the Finals,2000
N1,106,Drexel University Scholarship,2000
IL,107,Judges' Award,2000
N1,108,J&J Sportsmanship,2000
IL,111,#1 Seed,2000
IL,111,Regional Winners,2000
NJ,113,Presidential Classroom Leadership Scholarship,2000
CA,115,Honeywell Leadership in Control Award,2000
TX,118,Most Photogenic Award,2000
PA,122,Best Offensive Round,2000
VA,122,J&J Sportsmanship,2000
VA,122,Regional Winners,2000
VA,122,#1 Seed,2000
N1,123,Kettering University Scholarship,2000
IL,123,Judges' Award,2000
NE,124,Best Play of the Day Award,2000
N1,125,US Coast Guard Academy MITE Scholarship,2000
NE,126,Outstanding Defense,2000
N1,126,WPI Scholarship,2000
N1,126,Championship Finalist,2000
TX,127,Best Play of the Day Award,2000
NE,131,Regional Winners,2000
N1,131,Championship Finalist,2000
PA,134,Regional Winners,2000
PA,134,Outstanding Defense,2000
IL,135,Featherweight in the Finals,2000
MI,141,"Delphi ""Driving Tomorrow's Technology"" Award",2000
N1,145,Northeastern University Scholarship,2000
NE,146,Regional Finalists,2000
N1,151,DWC Scholarship,2000
NJ,153,Best Offensive Round,2000
NE,157,Motorola Quality Award,2000
PA,165,Motorola Quality Award,2000
FL,168,Judges' Award,2000
NE,173,#1 Seed,2000
N1,174,Drexel University Scholarship,2000
NJ,175,J&J Sportsmanship,2000
NJ,175,Regional Winners,2000
NE,175,Best Offensive Round,2000
N1,175,Chairman's Award Finalist,2000
NE,176,Regional Finalists,2000
N1,176,Drexel University Scholarship,2000
NE,181,Judges' Award - Venture Catalysts of Tomorrow,2000
N1,181,US Coast Guard Academy MITE Scholarship,2000
MI,184,Honeywell Leadership in Control Award,2000
IL,184,Regional Finalists,2000
N1,186,US Coast Guard Academy MITE Scholarship,2000
N1,186,Autdesk Award for Excellence,2000
NE,190,Honeywell Leadership in Control Award,2000
CA,192,Best Play of the Day Award,2000
TX,197,Best Play of the Day Award,2000
TX,197,DaimlerChrysler Team Spirit Award,2000
MI,201,#1 Seed,2000
MI,201,Judges' Award,2000
MI,201,Regional Winners,2000
N1,201,AutoDesk Honorable Mention-Compelling Creativity,2000
IL,201,Best Play of the Day Award,2000
NE,209,Regional Winners,2000
NJ,211,Motorola Quality Award,2000
FL,212,Best Offensive Round,2000
N1,217,Kettering University Scholarship,2000
IL,217,DaimlerChrysler Team Spirit Award,2000
PA,222,Best Offensive Round,2000
NJ,223,Best Play of the Day Award,2000
MI,226,Judges' Award,2000
NJ,227,Presidential Classroom Leadership Scholarship,2000
NE,228,Regional Finalists,2000
N1,231,Most Photogenic Award,2000
N1,232,Championship Winner,2000
FL,233,Most Photogenic Award,2000
N1,233,Autodesk special recognition for distinctive work in character animation,2000
N1,233,"Delphi ""Driving Tomorrow's Technology"" Award",2000
MI,235,Most Photogenic Award,2000
NE,237,J&J Sportsmanship,2000
NE,237,Regional Winners,2000
MI,240,Best Offensive Round,2000
NE,241,Outstanding Defense,2000
NJ,246,Outstanding Defense,2000
PA,248,Regional Finalists,2000
LI,250,Honeywell Leadership in Control Award,2000
LI,250,Regional Finalists,2000
CA,253,Judges' Award,2000
TX,254,Regional Winners,2000
TX,254,Outstanding Defense,2000
CA,254,Regional Winners,2000
N1,254,Judges' Award - Grit & Determination,2000
N1,255,Autodesk Design your Future Award,2000
N1,255,Championship Winner,2000
CA,258,Outstanding Defense,2000
N1,266,AutoDesk Honorable Mention-Technical Execution,2000
FL,267,Regional Finalists,2000
PA,272,Outstanding Defense,2000
VA,272,DaimlerChrysler Team Spirit Award,2000
VA,276,Best Offensive Round,2000
PA,277,Regional Winners,2000
MI,279,DaimlerChrysler Team Spirit Award,2000
VA,281,Regional Winners,2000
NJ,293,Regional Winners,2000
PA,293,Regional Winners,2000
PA,293,Honeywell Leadership in Control Award,2000
PA,300,J&J Sportsmanship,2000
N1,300,US Coast Guard Academy MITE Scholarship,2000
NJ,303,Featherweight in the Finals,2000
MI,306,Judges' Award,2000
N1,308,Honeywell Leadership in Control Award,2000
IL,308,Honeywell Leadership in Control Award,2000
N1,309,Autodesk Award for Excellence Hon Mention-Rising Star,2000
LI,311,Xerox Creativity Award,2000
FL,312,#1 Seed,2000
FL,312,Best Offensive Round,2000
FL,312,DaimlerChrysler Team Spirit Award,2000
FL,312,Regional Winners,2000
N1,312,Best Offensive Round,2000
TX,317,Regional Finalists,2000
TX,317,Xerox Creativity Award,2000
N1,317,AutoDesk Honorable Mention-Content Communication,2000
CA,330,Regional Finalists,2000
LI,331,Presidential Classroom Leadership Scholarship,2000
VA,337,Rookie All Star Award,2000
VA,337,Regional Finalists,2000
NJ,340,Rookie All Star Award,2000
NE,340,Regional Finalists,2000
N1,340,Kettering University Scholarship,2000
PA,341,Rookie All Star Award,2000
FL,342,Rookie All Star Award,2000
FL,342,J&J Sportsmanship,2000
FL,342,Regional Finalists,2000
FL,343,Motorola Quality Award,2000
FL,343,Regional Finalists,2000
N1,343,Rookie All Star Award,2000
N1,343,US Coast Guard Academy MITE Scholarship,2000
MI,349,Judges' Award,2000
MI,349,Regional Winners,2000
NE,350,Featherweight in the Finals,2000
FL,351,"Delphi ""Driving Tomorrow's Technology"" Award",2000
LI,352,Best Play of the Day Award,2000
LI,352,Featherweight in the Finals,2000
LI,353,Regional Winners,2000
LI,353,Outstanding Defense,2000
LI,354,Rookie All Star Award,2000
LI,358,Motorola Quality Award,2000
CA,359,DaimlerChrysler Team Spirit Award,2000
CA,359,Regional Finalists,2000
CA,360,Best Offensive Round,2000
CA,362,Rookie All Star Award,2000
TX,364,Rookie All Star Award,2000
TX,364,Regional Winners,2000
PA,365,Xerox Creativity Award,2000
PA,367,Best Play of the Day Award,2000
CA,368,Most Photogenic Award,2000
CA,368,Regional Finalists,2000
LI,369,Rookie All Star Award,2000
LI,369,Presidential Classroom Leadership Scholarship,2000
NJ,371,Rookie All Star Award,2000
CA,372,Xerox Creativity Award,2000
LI,373,Best Play of the Day Award,2000
CA,374,Judges' Award - Snowball's chance in San Jose,2000
LI,375,Regional Finalists,2000
MI,378,Rookie All Star Award,2000
NJ,380,Featherweight in the Finals,2000
VA,383,Most Photogenic Award,2000
VA,384,Honeywell Leadership in Control Award,2000
FL,386,Rookie All Star Award,2000
N1,388,Best Offensive Round,2000
N1,388,Featherweight in the Finals,2000
VA,388,Rookie All Star Award,2000
VA,388,Regional Finalists,2000
LI,394,J&J Sportsmanship,2000
LI,394,Regional Winners,2000
NJ,395,Judges' Award,2000
NJ,395,Presidential Classroom Leadership Scholarship,2000
N1,397,Kettering University Scholarship,2000
VA,400,Judges' Award,2000
VA,402,Regional Finalists,2000
VA,404,Featherweight in the Finals,2000
VA,405,Best Offensive Round,2000
VA,405,Xerox Creativity Award,2000
N1,408,DaimlerChrysler Team Spirit Award,2000
CA,409,Regional Winners,2000
CA,410,Rookie All Star Award,2000
VA,413,Outstanding Defense,2000
FL,415,Regional Winners,2000
FL,415,Xerox Creativity Award,2000
TX,420,Rookie All Star Award,2000
TX,420,Regional Finalists,2000
PA,421,Judges' Award - Grit & Determination,2000
VA,435,Best Play of the Day Award,2000
TX,437,Regional Winners,2000
TX,438,Featherweight in the Finals,2000
TX,442,Judges' Award,2000
N1,442,Judges' Award - Getting it Right,2000
N1,442,Best Offensive Round,2000
PA,444,DaimlerChrysler Team Spirit Award,2000
IL,447,Rookie All Star Award,2000
VA,449,Best Play of the Day Award,2000
IL,461,Rookie All Star Award,2000
N1,466,US Coast Guard Academy MITE Scholarship,2000
N1,467,Paul Allaire/WPI Future Engineering Leadership Scholarship,2000
MI,469,Rookie All Star Award,2000
CA,473,Featherweight in the Finals,2000
TX,476,Honeywell Leadership in Control Award,2000
N1,476,Rookie All Star Award,2000
PA,484,Rookie All Star Award,2000
NE,491,Rookie All Star Award,2000
NAT,1,Chairman's Award Finalist,2001
MI2,1,Regional Winners,2001
VA,5,Motorola Quality Award,2001
VA,5,Incredible Play of the Day,2001
IL,6,Regional Finalists,2001
CA2,8,Regional Finalists,2001
IL,9,Regional Finalists,2001
TX,21,DaimlerChrysler Team Spirit Award,2001
NAT,21,Championship Division Finalists - Archimedes,2001
FL,21,Regional Finalists,2001
NAT,22,Chairman's Award,2001
CA2,22,Imagery Award,2001
CA1,22,Judges' Award,2001
NJ,25,Xerox Creativity Award,2001
CT,27,J&J Sportsmanship,2001
MI1,27,DaimlerChrysler Team Spirit Award,2001
NY1,28,Regional Finalists,2001
NAT,33,Championship Finalist,2001
NAT,33,Championship Division Winners - Archimedes,2001
NAT,33,Kettering University Scholarship,2001
MI1,33,Regional Winners,2001
MI2,33,Regional Winners,2001
MI2,33,"Delphi ""Driving Tomorrow's Technology"" Award",2001
TX,34,Regional Finalists,2001
FL,37,J&J Sportsmanship,2001
FL,37,Regional Finalists,2001
NAT,38,General Motors Industrial Design Award,2001
CT,38,#1 Seed,2001
CT,38,Motorola Quality Award,2001
CT,38,Incredible Play of the Day,2001
CT,38,Regional Finalists,2001
NAT,45,Championship Division Finalists - Galileo,2001
NAT,45,Kettering University Scholarship,2001
IL,45,General Motors Industrial Design Award,2001
MI2,45,Leadership in Controls Award,2001
NAT,47,Chairman's Award Finalist,2001
NAT,47,Championship Division Finalists - Curie,2001
CT,47,Judges' Award,2001
NY2,47,DaimlerChrysler Team Spirit Award,2001
NY2,47,Regional Winners,2001
NY2,47,Leadership in Controls Award,2001
MI1,47,Leadership in Controls Award,2001
NAT,49,Kettering University Scholarship,2001
NAT,49,Judges' Award - Coming on Strong,2001
MI2,49,DaimlerChrysler Team Spirit Award,2001
NAT,53,Autodesk Award for Realization -Hon Mention,2001
NAT,53,Championship Division Winners - Galileo,2001
PA,56,Regional Winners,2001
PA,56,Leadership in Controls Award,2001
NJ,56,Regional Winners,2001
TX,57,#1 Seed,2001
FL,57,Regional Winners,2001
CT,58,Regional Finalists,2001
NAT,59,Championship Division Winners - Galileo,2001
FL,59,Xerox Creativity Award,2001
NAT,60,Motorola Quality Award,2001
CA2,60,Regional Winners,2001
CA2,60,Incredible Play of the Day,2001
CA2,60,Imagery Award,2001
CA1,60,Motorola Quality Award,2001
VA,64,Regional Winners,2001
NAT,65,Chairman's Award Finalist,2001
MI1,65,Regional Finalists,2001
MI1,65,Imagery Award,2001
MI2,65,Imagery Award,2001
MI2,66,Regional Finalists,2001
CT,67,Regional Finalists,2001
NAT,68,Kettering University Scholarship,2001
CT,69,Regional Winners,2001
NAT,71,#1 Seed - Newton Division,2001
NAT,71,Championship Winner,2001
NAT,71,Woodie Flowers Award,2001
NAT,71,Championship Division Winners - Newton,2001
IL,71,Incredible Play of the Day,2001
IL,71,Regional Winners,2001
IL,71,#1 Seed,2001
MI2,71,#1 Seed,2001
MI2,71,Regional Winners,2001
MI2,71,Incredible Play of the Day,2001
MI2,71,General Motors Industrial Design Award,2001
NJ,73,Judges' Award,2001
NAT,74,Championship Division Finalists - Archimedes,2001
MI1,74,Motorola Quality Award,2001
MI1,74,Regional Winners,2001
MI2,74,Regional Finalists,2001
NAT,75,Championship Division Winners - Curie,2001
NJ,75,Motorola Quality Award,2001
NJ,75,Regional Winners,2001
MI1,85,Regional Winners,2001
MI2,85,Regional Winners,2001
MI2,85,Judges' Award,2001
FL,86,Judges' Award - Exemplifying the meaning of FIRST,2001
PA,87,Regional Finalists,2001
NJ,95,Regional Winners,2001
NAT,96,WPI Scholarship,2001
CT,96,Imagery Award,2001
CT,97,Judges' Award,2001
PA,103,Regional Winners,2001
PA,103,Incredible Play of the Day,2001
NJ,103,Regional Finalists,2001
PA,104,Regional Finalists,2001
IL,107,Motorola Quality Award,2001
NAT,108,Championship Division Finalists - Galileo,2001
NAT,108,J&J Sportsmanship,2001
IL,108,Leadership in Controls Award,2001
IL,109,Regional Finalists,2001
NAT,111,Championship Finalist,2001
NAT,111,Championship Division Winners - Archimedes,2001
NAT,111,Xerox Creativity Award,2001
IL,111,Xerox Creativity Award,2001
IL,111,Regional Winners,2001
MI2,111,Xerox Creativity Award,2001
MI2,111,Regional Finalists,2001
IL,112,Regional Winners,2001
NAT,115,Championship Division Winners - Curie,2001
CA2,115,Regional Finalists,2001
CA2,115,Leadership in Controls Award,2001
NY2,121,General Motors Industrial Design Award,2001
NAT,122,Championship Division Winners - Galileo,2001
PA,122,"Delphi ""Driving Tomorrow's Technology"" Award",2001
NAT,124,Frank W Olin College Scholarship,2001
NAT,125,Championship Winner,2001
NAT,125,Championship Division Winners - Newton,2001
CT,125,Regional Finalists,2001
CT,126,Regional Winners,2001
NAT,128,Championship Division Finalists - Galileo,2001
NJ,133,Judges' Award,2001
